GeneID,Gene.type,Base.mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,significance
ADGRE3,protein_coding,5661.336749,6.569354993,0.529945117,12.39629309,2.74E-35,3.85E-34,sig
XIRP2,protein_coding,12.26617365,6.565541582,1.132253708,5.798648781,6.69E-09,1.99E-08,sig
TMPRSS9,protein_coding,1242.47089,6.558903716,0.547529253,11.97909278,4.57E-33,5.72E-32,sig
TREML4,protein_coding,194.2834481,6.557907378,0.949018437,6.910200186,4.84E-12,1.79E-11,sig
MEFV,protein_coding,15607.35132,6.557270702,0.474166057,13.82905969,1.7E-43,3.37E-42,sig
RLN3,protein_coding,22.38830226,6.541513512,0.841944133,7.769533936,7.88E-15,3.52E-14,sig
CIAO3,protein_coding,131482.848,6.532953326,0.543749814,12.01463091,2.98E-33,3.75E-32,sig
GZMM,protein_coding,8395.86895,6.527901989,0.369279435,17.6774046,6.26E-70,3.86E-68,sig
LCN8,protein_coding,19.75554081,6.517770683,1.150437141,5.665473107,1.47E-08,4.24E-08,sig
RASGRP4,protein_coding,12476.92668,6.498307144,0.376746706,17.24847767,1.15E-66,6.14E-65,sig
FKBP8,protein_coding,571921.7448,6.490653826,0.325268465,19.95475898,1.36E-88,1.74E-86,sig
KIR3DL1,protein_coding,92.01585273,6.447343849,0.681003135,9.46742169,2.87E-21,1.91E-20,sig
PROK2,protein_coding,5761.12261,6.447140513,0.722705024,8.920846403,4.63E-19,2.7E-18,sig
KIR2DL5B,protein_coding,13.67533572,6.443471808,1.1505244,5.600465152,2.14E-08,6.11E-08,sig
TREML2,protein_coding,4918.368162,6.421452525,0.416570536,15.41504251,1.3E-53,4.06E-52,sig
CLDND2,protein_coding,1646.827836,6.416260471,0.274313119,23.39027934,5.37E-121,2.1E-118,sig
TSPAN32,protein_coding,3939.796147,6.41509089,0.364831978,17.58368585,3.29E-69,1.97E-67,sig
NTNG2,protein_coding,4894.330322,6.413638772,0.424434039,15.11103771,1.37E-51,3.94E-50,sig
MYO1F,protein_coding,112569.6015,6.41093831,0.351629052,18.23210645,2.87E-74,2.11E-72,sig
PDE6H,protein_coding,8.537159756,6.383534668,1.076874906,5.927833061,3.07E-09,9.36E-09,sig
NFAM1,protein_coding,52308.57154,6.380234704,0.379509393,16.81179655,2E-63,9.24E-62,sig
NCF1,protein_coding,33537.41624,6.373828728,0.405064267,15.73535175,8.66E-56,2.97E-54,sig
SPI1,protein_coding,90863.27261,6.37057794,0.323129466,19.7152492,1.6E-86,1.88E-84,sig
EZHIP,protein_coding,34.70681953,6.352007061,0.573460923,11.07661708,1.63E-28,1.61E-27,sig
TMEM272,protein_coding,507.789494,6.343046746,0.429536106,14.76720271,2.38E-49,6.2E-48,sig
MGAM,protein_coding,10533.32687,6.339702285,0.744572636,8.514551806,1.67E-17,8.86E-17,sig
GYPC,protein_coding,53695.73494,6.337524124,0.435405451,14.55545425,5.39E-48,1.31E-46,sig
RUNDC3A,protein_coding,2690.043837,6.330046244,0.445008135,14.22456297,6.45E-46,1.43E-44,sig
PRAM1,protein_coding,7161.401743,6.316749826,0.288655242,21.88337128,3.74E-106,8.86E-104,sig
NME4,protein_coding,119319.5044,6.296453001,0.631140907,9.976303127,1.94E-23,1.44E-22,sig
RAB40C,protein_coding,168794.2236,6.295285012,0.540070384,11.6564159,2.13E-31,2.44E-30,sig
CD300LB,protein_coding,3408.742973,6.283946402,0.408491355,15.38330327,2.12E-53,6.56E-52,sig
CACNG8,protein_coding,193.0058754,6.276746755,0.490776482,12.78942041,1.88E-37,2.87E-36,sig
FCRL1,protein_coding,1241.819028,6.247209359,0.540013183,11.56862379,5.94E-31,6.65E-30,sig
HEMGN,protein_coding,226.6851292,6.240380232,0.706359394,8.834568194,1E-18,5.74E-18,sig
ALPL,protein_coding,39110.25157,6.232852048,0.511731673,12.17992236,3.98E-34,5.27E-33,sig
CACNA1I,protein_coding,2128.642563,6.205662757,0.401497368,15.45629748,6.84E-54,2.17E-52,sig
KRTAP4-12,protein_coding,4.471255178,6.195984311,1.152065812,5.378151359,7.53E-08,0.000000206,sig
C10orf105,protein_coding,1978.24639,6.180724666,0.307445332,20.10349167,6.88E-90,9.52E-88,sig
PTCRA,protein_coding,479.3429665,6.143633832,0.418971255,14.66361655,1.1E-48,2.77E-47,sig
DEFA1,protein_coding,2577.82053,6.13844614,1.09344374,5.613865548,1.98E-08,5.67E-08,sig
PTPRCAP,protein_coding,15733.77244,6.135898088,0.500095666,12.26944863,1.32E-34,1.79E-33,sig
