GeneID,Gene.type,Base.mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj,significance
SCEL,protein_coding,2993.958738,-10.28046831,0.930143293,-11.05256404,2.13042E-28,2.09311E-27,sig
HOXB13,protein_coding,439.5205589,-10.26852407,1.37639233,-7.460463015,8.6219E-14,3.59698E-13,sig
CBLC,protein_coding,1370.565665,-10.24163868,0.664012246,-15.42387018,1.13117E-53,3.55382E-52,sig
TJP1,protein_coding,5395.81522,-10.21870373,0.650977096,-15.69748581,1.57356E-55,5.31664E-54,sig
NMU,protein_coding,1184.184708,-10.20191389,0.834420106,-12.22635195,2.2481E-34,3.0176E-33,sig
CXCL12,protein_coding,1373.307906,-10.188922,0.914799318,-11.13787669,8.20523E-29,8.27274E-28,sig
GABRE,protein_coding,2203.727402,-10.18762966,0.698522381,-14.58454294,3.52273E-48,8.68553E-47,sig
MMP3,protein_coding,1169.486847,-10.18621537,1.140308309,-8.932860775,4.15132E-19,2.42704E-18,sig
C11orf52,protein_coding,271.0314119,-10.17796776,0.807565348,-12.60327451,2.02557E-36,2.97507E-35,sig
SOX2,protein_coding,2807.247701,-10.15995158,1.000604526,-10.15381334,3.18663E-24,2.4815E-23,sig
RASSF9,protein_coding,276.4243126,-10.15484748,0.87647531,-11.58600518,4.85241E-31,5.45005E-30,sig
SFRP4,protein_coding,5652.010336,-10.14244737,1.146770595,-8.844355983,9.20577E-19,5.27442E-18,sig
FN1,protein_coding,29008.25403,-10.13952495,0.615833008,-16.46473122,6.57541E-61,2.722E-59,sig
RHOV,protein_coding,3496.863483,-10.13413965,0.777569576,-13.03309692,7.93215E-39,1.28116E-37,sig
CCL21,protein_coding,319.9264632,-10.12978035,1.130696049,-8.958888959,3.27966E-19,1.93072E-18,sig
CPE,protein_coding,2161.061979,-10.10833421,0.802904586,-12.58970789,2.40562E-36,3.52695E-35,sig
TSPAN1,protein_coding,4966.174899,-10.08882664,0.850277015,-11.86534089,1.79171E-32,2.17934E-31,sig
NR2F1,protein_coding,643.7532972,-10.08837963,0.994125151,-10.14799759,3.38232E-24,2.62973E-23,sig
WNT5A,protein_coding,2609.810247,-10.06109801,0.616939995,-16.30806578,8.64883E-60,3.44151E-58,sig
PLS3,protein_coding,11251.37734,-10.0542416,0.358072702,-28.07877157,1.7797E-173,3.653E-170,sig
CDH3,protein_coding,10583.62789,-10.03528012,0.660467159,-15.19421517,3.86262E-52,1.14077E-50,sig
MALL,protein_coding,4189.680596,-10.023982,0.635428789,-15.77514613,4.61329E-56,1.60268E-54,sig
TACSTD2,protein_coding,43948.09792,-10.01685179,0.673182044,-14.87985586,4.45458E-50,1.20045E-48,sig
ISLR,protein_coding,3764.727496,-10.01461559,0.987824924,-10.13804708,3.74512E-24,2.90173E-23,sig
CCL13,protein_coding,279.1772711,-10.00967488,1.062801313,-9.418199579,4.58889E-21,3.01497E-20,sig
TEAD1,protein_coding,2676.489591,-10.00944135,0.497139605,-20.13406547,3.7125E-90,5.16625E-88,sig
UGT1A6,protein_coding,764.2137539,-10.00146821,1.130954273,-8.843388674,9.28585E-19,5.31783E-18,sig
